rank,name,authorId,score,seed_overlap,paperCount,citationCount,hIndex,firstPubYear,affiliations,homepage,surfaced_via
14,Xinnong Zhang,2273571619,35.3,3,9,220,5,2023,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents (2024) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
15,Weihong Qi,2212502647,35.24,3,9,176,6,2023,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents (2024) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
16,Jiayu Lin,2273503767,35.22,3,13,228,5,2021,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents (2024) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
17,Xiawei Liu,2310182253,33.63,3,22,337,6,2020,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
18,Weiling Chen,2373397328,33.57,2,3,43,2,2024,,,Omne-R1: Learning to Reason with Memory for Multi-hop Question Answering (2025) w/ Jiayan Nan | Long Term Memory: The Foundation of AI Self-Evolution (2024) w/ Yize Chen
19,Baodai Huang,2381320579,32.33,2,4,67,2,2025,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
20,Xinyi Mou,2134027736,31.37,3,19,413,9,2021,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents (2024) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
21,Muxin Tian,2386085117,31.3,2,5,70,2,2020,,,SWE-Bench Mobile: Can Large Language Model Agents Develop Industry-Level Mobile Applications? (2026) w/ Zhe Wang | Where LLM Agents Fail and How They can Learn From Failures (2025) w/ Gowtham Ramesh
22,Jiaqi Liu,2312414667,31.07,2,5,93,2,2024,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
23,Han Zhao,2327736739,30.55,2,6,45,2,2024,,,Omne-R1: Learning to Reason with Memory for Multi-hop Question Answering (2025) w/ Jiayan Nan | Long Term Memory: The Foundation of AI Self-Evolution (2024) w/ Yize Chen
24,Jun Wang,2376553213,30.44,2,5,106,3,2025,,,Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ Kin-Hei Lee | Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ K. Lee
25,Viktor K. Prasanna,2349640766,30.25,2,6,75,2,2025,,,LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Jialong Wu | LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Zhiwei Jiang
26,Fang Wu,2408941235,30.1,2,5,90,4,2025,,,LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Jialong Wu | LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Zhiwei Jiang
27,Xingyao Wang,2349629533,30.04,2,4,196,4,2024,,,LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Jialong Wu | LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Zhiwei Jiang
28,Zihan Wang,2376510814,29.58,2,6,92,3,2024,,,Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ Kin-Hei Lee | Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ K. Lee
29,Zehui Chen,2339629133,29.37,2,5,163,4,2025,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
30,Libo Wu,2402740634,29.07,3,18,293,6,2004,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
31,Chenyang Liao,2305114125,28.9,2,5,210,4,2024,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
32,Huichi Zhou,2338518016,28.57,2,6,143,4,2025,,,TrustRAG: Enhancing Robustness and Trustworthiness in Retrieval-Augmented Generation (2025) w/ Kin-Hei Lee | Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ Kin-Hei Lee | TrustRAG: Enhancing Robustness and Trustworthiness in RAG (2025) w/ Kin-Hei Lee | Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ K. Lee
33,Siyuan Guo,2403295925,27.53,2,12,97,3,2023,,,Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ Kin-Hei Lee | Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ K. Lee
34,Zhaoling Chen,2223913607,27.5,2,8,100,3,2023,,,LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Jialong Wu | LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Zhiwei Jiang
35,Gangda Deng,2266201919,27.09,2,10,91,4,2022,,,LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Jialong Wu | LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Zhiwei Jiang
36,Rui Zheng,2314918518,26.68,2,9,132,4,2024,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
37,Jixuan Huang,2332490660,26.44,2,10,156,4,2024,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
38,Yihang Chen,2370956570,26.35,2,17,215,3,2025,,,Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ Kin-Hei Lee | Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ K. Lee
39,Linyi Yang,2366614050,26.12,2,8,188,4,2025,,,Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ Kin-Hei Lee | Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ K. Lee
40,Wenlong Wu,2265618217,26.04,2,16,146,5,2020,,,What Deserves Memory: Adaptive Memory Distillation for LLM Agents (2025) w/ Jiayan Nan | What Deserves Memory: Adaptive Memory Distillation for LLM Agents (2025) w/ Yize Chen
41,Jiazheng Zhang,2328335201,25.79,2,25,121,6,2024,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
42,Yufei Xu,2338864255,24.37,2,9,263,6,2025,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
43,Xin Zhou,2373728681,23.89,2,13,261,7,2024,,,Omne-R1: Learning to Reason with Memory for Multi-hop Question Answering (2025) w/ Jiayan Nan | FutureX: An Advanced Live Benchmark for LLM Agents in Future Prediction (2025) w/ Yantao Du
44,Xu Yan,2110708365,23.69,2,7,81,3,1987,,,Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ Kin-Hei Lee | Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ K. Lee
45,X. Wang,2325785593,23.39,2,9,361,6,2024,,,Agents of Change: Self-Evolving LLM Agents for Strategic Planning (2025) w/ Nikolas Belle | Agents of Change: Self-Evolving LLM Agents for Strategic Planning (2025) w/ Dakota Barnes
46,Jiecao Chen,2341524466,23.12,2,12,288,8,2025,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
47,W. Wang,2310569060,23.0,2,9,300,8,2023,,,Agents of Change: Self-Evolving LLM Agents for Strategic Planning (2025) w/ Nikolas Belle | Agents of Change: Self-Evolving LLM Agents for Strategic Planning (2025) w/ Dakota Barnes
48,Kunlun Zhu,2337360144,21.82,2,16,468,7,2024,,,SWE-Bench Mobile: Can Large Language Model Agents Develop Industry-Level Mobile Applications? (2026) w/ Zhe Wang | MultiAgentBench: Evaluating the Collaboration and Competition of LLM agents (2025) w/ Zhe Wang | Where LLM Agents Fail and How They can Learn From Failures (2025) w/ Gowtham Ramesh
49,I. Bercovich,2366018523,20.73,2,11,227,4,1978,,,Agents of Change: Self-Evolving LLM Agents for Strategic Planning (2025) w/ Nikolas Belle | Agents of Change: Self-Evolving LLM Agents for Strategic Planning (2025) w/ Dakota Barnes
50,Zhengyin Du,2336923378,20.5,2,12,572,9,2024,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
51,Jiliang Tang,2314887353,20.33,2,25,467,10,2024,,,How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior (2025) w/ Zhen Xiang | Memory Injection Attacks on LLM Agents via Query-Only Interaction (2025) w/ Tianming Liu
52,Guchun Zhang,2044459,20.33,2,9,217,5,2014,,,Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ Kin-Hei Lee | A Benchmark for Deep Information Synthesis (2026) w/ K. Lee | Memento: Fine-tuning LLM Agents without Fine-tuning LLMs (2025) w/ K. Lee
53,Honglin Guo,2269420111,20.0,2,21,554,10,2023,Fudan University,https://github.com/KYLN24,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
54,Xiangru Tang,2284051144,19.74,2,18,426,12,2023,,,LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Jialong Wu | LocAgent: Graph-Guided LLM Agents for Code Localization (2025) w/ Zhiwei Jiang
55,Alfonso Amayuelas,2039956094,19.0,2,20,515,12,2020,,,Agents of Change: Self-Evolving LLM Agents for Strategic Planning (2025) w/ Nikolas Belle | Agents of Change: Self-Evolving LLM Agents for Strategic Planning (2025) w/ Dakota Barnes
56,Jiaxuan You,2348519246,18.32,2,15,368,6,2002,,,SWE-Bench Mobile: Can Large Language Model Agents Develop Industry-Level Mobile Applications? (2026) w/ Zhe Wang | MultiAgentBench: Evaluating the Collaboration and Competition of LLM agents (2025) w/ Zhe Wang | Where LLM Agents Fail and How They can Learn From Failures (2025) w/ Gowtham Ramesh
57,Guanyu Li,2277412897,15.5,2,23,573,9,2006,,,AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Xue-Liang Yao | AgentGym-RL: Training LLM Agents for Long-Horizon Decision Making through Multi-Turn Reinforcement Learning (2025) w/ Qi Zhang
